date,state,positiveIncrease,negativeIncrease,deathIncrease,hospitalizedIncrease
20200816,AK,106,4732,0,0
20200816,AL,853,8554,2,0
20200816,AR,673,33117,-1,8
20200816,AS,0,0,0,0
20200816,AZ,883,13900,14,-40
20200816,CA,7873,109151,77,0
20200816,CO,300,5680,0,9
20200816,CT,0,0,0,0
20200816,DC,61,3575,0,0
20200816,DE,55,1569,0,0
20200816,FL,3779,26124,107,267
20200816,GA,1862,15345,33,59
20200816,GU,14,663,0,0
20200816,HI,282,2751,0,2
20200816,IA,635,4484,2,0
20200816,ID,304,1906,4,12
20200816,IL,1562,35527,18,0
20200816,IN,739,8497,5,63
20200816,KS,0,0,0,0
20200816,KY,385,0,3,0
20200816,LA,1181,19894,77,0
20200816,MA,303,15164,11,3
20200816,MD,519,14239,3,58
20200816,ME,24,2845,0,1
20200816,MI,477,28794,6,0
20200816,MN,739,8842,7,29
20200816,MO,1078,9099,21,0
20200816,MP,0,0,0,0
20200816,MS,381,0,4,0
20200816,MT,91,897,0,2
20200816,NC,1246,19999,4,0
20200816,ND,143,1512,0,2
20200816,NE,253,2940,0,3
20200816,NH,8,1544,0,2
20200816,NJ,13,28790,2,9
20200816,NM,142,6107,8,11
20200816,NV,697,3916,3,0
20200816,NY,607,77085,6,0
20200816,OH,613,26682,2,26
20200816,OK,544,0,4,15
20200816,OR,244,3674,2,0
20200816,PA,660,12519,3,0
20200816,PR,311,0,6,0
20200816,RI,0,0,0,0
20200816,SC,615,6586,9,0
20200816,SD,156,1169,1,3
20200816,TN,1961,25621,21,34
20200816,TX,6744,110621,143,0
20200816,UT,331,3295,0,11
20200816,VA,937,15671,0,2
20200816,VI,7,47,0,0
20200816,VT,6,1032,0,0
20200816,WA,746,0,11,24
20200816,WI,699,5414,1,29
20200816,WV,107,4988,0,0
20200816,WY,59,0,0,0
20200815,AK,85,663,1,0
20200815,AL,1271,10762,3,151
20200815,AR,-400,0,13,-4
20200815,AS,0,118,0,0
20200815,AZ,933,8683,69,280
20200815,CA,12614,111899,151,0
20200815,CO,319,6640,5,18
20200815,CT,0,0,0,0
20200815,DC,41,2870,3,0
20200815,DE,56,1230,0,0
20200815,FL,6352,35808,204,506
20200815,GA,3273,14740,96,210
20200815,GU,0,0,0,0
20200815,HI,231,2418,0,10
20200815,IA,861,4976,7,0
20200815,ID,542,2249,14,23
20200815,IL,1828,42586,5,0
20200815,IN,1044,10082,15,71
20200815,KS,0,0,0,0
20200815,KY,632,10702,6,35
20200815,LA,0,0,0,0
20200815,MA,366,22603,14,20
20200815,MD,818,16561,5,48
20200815,ME,29,2282,1,0
20200815,MI,1058,29570,20,0
20200815,MN,690,10237,6,39
20200815,MO,1127,9445,11,0
20200815,MP,0,0,0,0
20200815,MS,825,7898,37,43
20200815,MT,118,957,1,5
20200815,NC,1536,24463,30,0
20200815,ND,122,1420,0,2
20200815,NE,328,3131,1,0
20200815,NH,59,1702,1,1
20200815,NJ,278,31264,7,36
20200815,NM,173,8378,6,18
20200815,NV,859,3787,24,0
20200815,NY,734,87934,12,0
20200815,OH,1117,21824,40,82
20200815,OK,901,10274,13,45
20200815,OR,405,11367,1,0
20200815,PA,850,15145,20,0
20200815,PR,567,0,12,0
20200815,RI,0,0,0,0
20200815,SC,1041,7575,56,0
20200815,SD,94,1341,2,10
20200815,TN,1289,16426,19,88
20200815,TX,8245,31390,238,0
20200815,UT,345,4739,3,16
20200815,VA,912,16056,11,189
20200815,VI,30,88,0,0
20200815,VT,8,2872,0,0
20200815,WA,800,0,19,24
20200815,WI,866,10506,13,40
20200815,WV,183,5361,3,0
20200815,WY,44,0,0,0
20200814,AK,119,1757,0,0
20200814,AL,752,21670,3,0
20200814,AR,626,4554,5,0
20200814,AS,0,0,0,0
20200814,AZ,927,8470,40,12
20200814,CA,7934,103171,188,0
20200814,CO,463,7113,7,15
20200814,CT,115,10240,3,0
20200814,DC,94,6562,0,0
20200814,DE,373,1474,0,0
20200814,FL,6148,32299,229,621
20200814,GA,3227,24216,35,237
20200814,GU,25,391,0,0
20200814,HI,0,3030,0,0
20200814,IA,596,4828,7,0
20200814,ID,498,3110,5,17
